순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
1,여행,전국축제자랑,893741371X,9788937413711,3810,민음사,김혼비.박태하 지음,15000,13500,1500,10%,750점,20210226,15050
2,여행,경양식집에서,K532738025,9791197360404,,린틴틴,"조영권 지음, 이윤희 그림",16000,14400,1600,10%,800점,20210129,11905
3,여행,나를 부르는 숲,8972916528,9788972916529,3840,까치,"빌 브라이슨 지음, 홍은택 옮김",13500,12150,1350,10%,670점,20180108,37865
4,여행,혼자 여행을 다녀왔습니다,K812738105,9791196975258,3830,북포레스트,"마스다 미리 지음, 이소담 옮김",14000,12600,1400,10%,700점,20210205,12525
5,여행,여행의 이유,8954655971,9788954655972,3810,문학동네,김영하 지음,13500,12150,1350,10%,670점,20190417,125996
6,여행,에이든 국내여행 가이드북,K942632691,9791190073073,,타블라라사,타블라라사 편집부 외 지음,18700,16830,1870,10%,930점,20200816,9239
7,여행,중국집,8997225480,9788997225484,3810,CABOOKS(CA북스),"조영권 지음, 이윤희 그림",17000,15300,1700,10%,170점,20181010,5362
8,여행,오래 준비해온 대답,K672639180,9791197021602,3810,복복서가,김영하 지음,16500,14850,1650,10%,820점,20200429,55743
9,여행,거기서 죽어도 좋았다,K982738484,9791188331918,3810,스노우폭스북스,조양곤 지음,15500,13950,1550,10%,770점,20210203,3135
10,여행,유럽 예약,8968332916,9788968332913,3810,허밍버드,청춘유리 지음,15800,14220,1580,10%,790점,20210112,11620
11,여행,사라져 가는 풍경들,K302737808,9791190938310,3810,상상출판,이용한 지음,15500,13950,1550,10%,770점,20210111,5465
12,여행,"페테르부르크, 막이 오른다",K292738830,9791197317316,3600,파롤앤(PAROLE&),"김주연 지음, 김병진 그림",15800,14220,1580,10%,790점,20210223,3470
13,여행,그랜드투어 그리스 : 고전학자와 함께 둘러보는 신화와 역사의 고향,K922738583,9791197336102,,도도네,강대진 지음,23000,20700,2300,10%,"1,150점",20210130,5085
14,여행,쉬운 천국,K512735580,9791189385163,3810,어떤책,유지혜 지음,16000,14400,1600,10%,800점,20201120,22805
15,여행,"다시, 여행을 가겠습니다",K852739033,9791190710169,3810,앤의서재,백상현 지음,16500,14850,1650,10%,820점,20210315,1420
16,여행,진짜 프랑스는 시골에 있다,K292737055,9791190938334,3920,상상출판,"문정훈 지음, 장준우 사진",16000,14400,1600,10%,800점,20210115,5125
17,여행,인생에는 특별한 것과 평범한 것이 모두 필요하다,K092738836,9791191247039,3830,엘리,"이나가키 에미코 지음, 김미형 옮김",15000,13500,1500,10%,750점,20210226,990
18,여행,그 좋았던 시간에,K472735042,9791158161248,3810,달,김소연 지음,14500,13050,1450,10%,720점,20201124,7740
19,여행,"일상이 고고학, 나 혼자 경주 여행",K442633501,9791186274637,,책읽는고양이,황윤 지음,14900,13410,1490,10%,740점,20201015,4387
20,여행,꼭 한번은 가봐야 할 사찰,K422738128,9791195787326,3980,테마있는명소,남민 지음,18000,16200,1800,10%,900점,20210225,1100
21,여행,여전히 가족은 어렵습니다만,K972738793,9791188244621,3810,샨티,박은빈 지음,16000,14400,1600,10%,800점,20210205,1290
22,여행,특별하게 제주,K832631493,9791188829170,3980,디스커버리미디어,강경필 외 지음,17000,15300,1700,10%,850점,20200810,3516
23,여행,트래블러 아르헨티나,K372630570,9791197025600,3810,오렌지디,JTBC 트래블러 제작진 지음,19500,17550,1950,10%,970점,20200617,9010
24,여행,한국 문화유산 산책,8974115263,9788974115265,,새문사,고려대학교 한국사연구소 고려답사회 엮음,27000,27000,0,0%,"1,350점",20190825,1124
25,여행,뮤지엄 게이트,K252739018,9791196953577,3630,아트북프레스,조새미 지음,20000,18000,2000,10%,"1,000점",20210127,530
26,여행,"궁궐과 왕릉, 600년 조선문화를 걷다",K502738835,9791191215014,3980,창해,한국역사인문교육원(미래학교) 지음,18000,16200,1800,10%,900점,20210226,600
27,여행,잘할 수 없을까 봐 후회할까 봐,K562738027,9791196797775,3810,강한별,김의정.최동희 지음,13800,12420,1380,10%,690점,20210205,990
28,여행,제주도 여행백서,8998417510,9788998417512,14980,나무자전거,손만기 지음,16000,14400,1600,10%,800점,20210110,930
29,여행,"할매, 밥 됩니까",8927811593,9788927811596,3980,중앙books(중앙북스),노중훈 지음,16800,15120,1680,10%,840점,20201007,2950
30,여행,에이든 우리나라 전국 여행지도,K782630679,9791190073059,13910,타블라라사,타블라라사 편집부.이정기 지음,18700,16830,1870,10%,930점,20200616,4092
31,여행,에이든 우리나라 역사지도 세트,K122739019,9791190073080,3910,타블라라사,타블라라사 편집부 외 지음,20000,18000,2000,10%,"1,000점",20201123,360
32,여행,느릿느릿 복작복작,8958721758,9788958721758,3810,효형출판,라정진 지음,14000,12600,1400,10%,700점,20210130,1520
33,여행,아이랑 제주 여행,K542738289,9791188829194,13980,디스커버리미디어,송인희 지음,17000,15300,1700,10%,850점,20210210,1180
34,여행,Tripful 트립풀 제주,K482630691,9791185831978,14980,이지앤북스,이지앤북스 편집부 지음,16000,14400,1600,10%,800점,20200624,3554
35,여행,모든 요일의 여행,K892535380,9791185459523,3810,북라이프,김민철 지음,13500,12150,1350,10%,670점,20160725,8851
36,여행,사진과 지도로 보는 중국산업관광지리,8998468581,9788998468583,13910,박문사,김용선.정미지 지음,17000,16150,850,5%,850점,20150317,440
37,여행,자전거여행 1,8954626203,9788954626200,4810,문학동네,"김훈 지음, 이강빈 사진",15000,13500,1500,10%,750점,20141022,9818
38,여행,성당 평전,K222736661,9791165793197,3810,시공사,최의영.우광호 지음,18000,16200,1800,10%,900점,20201211,5880
39,여행,대한민국 트레킹 가이드,8927811461,9788927811466,14980,중앙books(중앙북스),진우석.이상은 지음,20000,18000,2000,10%,"1,000점",20200903,2608
40,여행,서른 살에 스페인,K552632578,9791157853274,3920,참좋은날,최지수 지음,17000,15300,1700,10%,850점,20200820,2813
41,여행,빌 브라이슨 발칙한 유럽산책 (리커버 에디션),8950987643,9788950987640,3840,21세기북스,"빌 브라이슨 지음, 권상미 옮김",18000,16200,1800,10%,900점,20200508,2225
42,여행,"세계를 읽다, 독일",K282535780,9791186440063,4900,도서출판 가지,"리처드 로드 지음, 박선주 옮김",15000,13500,1500,10%,750점,20160710,821
43,여행,윤운중의 유럽미술관순례 1,8997066188,9788997066186,4600,모요사,윤운중 지음,25000,22500,2500,10%,"1,250점",20130620,1450
44,여행,파리는 날마다 축제,8994228349,9788994228341,3840,이숲,"어니스트 헤밍웨이 지음, 주순애 옮김",15000,13500,1500,10%,750점,20120120,3168
45,여행,블루스트리트(BLUE STREET) Vol.15 : 맛집안전지대 - 오늘도 문 열었습니다,K892738933,9791197258725,,리테일앤인사이트,블루스트리트 편집부 지음,12000,10800,1200,10%,540점,20210302,270
46,여행,너구리네 뉴질랜드 일기 1,K122738796,9791137233676,3810,부크크(bookk),최재영 지음,13500,13500,0,0%,0점,20210120,455
47,여행,교과서가 쉬워지는 주말여행,K862633401,9791165212766,13980,길벗,김수진.박은하 지음,18000,16200,1800,10%,900점,20201001,1121
48,여행,오름 오름 트레킹 맵,K162632855,9791187694168,10980,미니멈,박선정 지음,13000,11700,1300,10%,650점,20200915,1503
49,여행,에이든 우리나라 제주 여행지도,K452631728,9791190073066,,타블라라사,타블라라사 편집부.이정기 지음,14400,12960,1440,10%,720점,20200801,1843
50,여행,자전거여행 바이블,K212639232,9791189469849,13980,꿈의지도,이준휘 지음,16000,14400,1600,10%,800점,20200529,1097
51,여행,순례자의 인문학 2,8949717476,9788949717470,4810,동서문화동판(동서문화사),"문갑식 지음, 이서현 사진",15000,13500,1500,10%,750점,20200430,1591
52,여행,순례자의 인문학 1,8949717468,9788949717463,4810,동서문화동판(동서문화사),"문갑식 지음, 이서현 사진",15000,13500,1500,10%,750점,20200430,1714
53,여행,식객 허영만의 백반기행,K812639809,9791189159634,14980,가디언,허영만.TV조선 &lt;식객 허영만의 백반기행&gt; 제작팀 지음,17000,15300,1700,10%,850점,20200514,7717
54,여행,"삼국지, 문화기행",8983962658,9788983962652,93820,신아사,남덕현 지음,14000,14000,0,0%,140점,20180228,419
55,여행,윤운중의 유럽미술관순례 2,8997066196,9788997066193,4600,모요사,윤운중 지음,25000,22500,2500,10%,"1,250점",20130620,1097
56,여행,대한민국 자동차 캠핑 가이드,8927812042,9788927812043,14980,중앙books(중앙북스),허준성.여미현.표영도 지음,20000,18000,2000,10%,"1,000점",20210225,450
57,여행,너구리네 뉴질랜드 일기 2,K272738796,9791137233683,3810,부크크(bookk),최재영 지음,12500,12500,0,0%,0점,20210120,365
58,여행,산티아고에서 온 편지,K032738180,9791195835546,3810,물음책방,강진숙.이산들 지음,13000,11700,1300,10%,650점,20201224,440
59,여행,타박타박 서울 유람,K222737364,9791165793227,13980,시공사,김혜영 지음,16000,14400,1600,10%,800점,20201222,550
60,여행,러시아의 시민들,8932920478,9788932920474,3810,열린책들,백민석 지음,14800,13320,1480,10%,740점,20201210,1365
61,여행,후회 없이 그림 여행,8997066625,9788997066629,3600,모요사,엄미정 지음,22000,19800,2200,10%,"1,100점",20201215,1345
62,여행,아름다운 사찰여행,K362631455,9791190938396,13980,상상출판,유철상 지음,16900,15210,1690,10%,840점,20200818,3588
63,여행,이번 달은 뉴요커,8950987872,9788950987879,3810,21세기북스,홍세림 지음,19500,17550,1950,10%,970점,20200513,3163
64,여행,"혼자, 천천히, 북유럽",K412636727,9791189856564,3920,상상출판,리모 김현길 지음,16800,15120,1680,10%,840점,20200102,2822
65,여행,에이든 서울 여행지도,K412636116,9791190073028,,타블라라사,타블라라사 편집부 외 지음,18000,16200,1800,10%,900점,20191216,1222
66,여행,빵 자매의 빵빵한 여행 : 유럽 편,8926896382,9788926896389,13980,이담북스,박미이.복혜원 지음,13800,12420,1380,10%,690점,20191002,610
67,여행,지구별 여행자,K232635524,9791186686454,3810,연금술사,"류시화 지음, 크리스토퍼 코어 그림",17000,15300,1700,10%,850점,20190628,2557
68,여행,다정한 구원,K642635109,9791189280284,3810,미디어창비,임경선 지음,15000,13500,1500,10%,750점,20190530,3863
69,여행,홍콩 산책,8965455766,9788965455769,3810,산지니,류영하 지음,15000,13500,1500,10%,750점,20190115,1005
70,여행,나영석 피디의 어차피 레이스는 길다,8954650880,9788954650885,3810,문학동네,나영석 지음,16500,14850,1650,10%,820점,20180413,1947
71,여행,아 파리,K472531319,9791188331123,13980,스노우폭스북스,최연정.최지민 지음,17000,15300,1700,10%,850점,20170824,2179
72,여행,베를린 일기,8937433702,9788937433702,3810,민음사,최민석 지음,17000,15300,1700,10%,850점,20161201,3285
73,여행,이탈리아 기행 1,8937461056,9788937461057,4850,민음사,"요한 볼프강 폰 괴테 지음, 박찬기 옮김",12000,10800,1200,10%,600점,20040810,1864
74,여행,빵 자매의 빵빵한 여행 : 아시아 편,K972738228,9791166033131,13980,이담북스,박미이.복혜원 지음,16800,15120,1680,10%,840점,20210219,310
75,여행,숨과 숨 사이 해녀가 산다,K942738926,9791191262193,3810,걷는사람,"권선희 지음, 김수정 사진",15000,13500,1500,10%,750점,20201231,400
76,여행,너구리네 뉴질랜드 일기 4,K352738796,9791137233744,3810,부크크(bookk),최재영 지음,13500,13500,0,0%,0점,20210121,295
77,여행,너구리네 뉴질랜드 일기 3,K212738796,9791137233690,3810,부크크(bookk),최재영 지음,12000,12000,0,0%,0점,20210120,295
78,여행,캠핑 하루,K682737664,9791196409982,3810,소로소로,생활모험가 지음,14800,13320,1480,10%,740점,20210111,1335
79,여행,서울체,K722737365,9791195052967,3600,디북(도서출판 디),박길룡.이재성 지음,32000,28800,3200,10%,960점,20201201,460
80,여행,한 끼 식사의 행복,8934992549,9788934992547,13980,김영사,김석동 지음,16000,14400,1600,10%,800점,20201130,4325
81,여행,2021 미쉐린 가이드 서울,K412735114,9782067250529,5100,미쉐린(MICHELIN),미쉐린 트래블 파트너 지음,22000,19800,2200,10%,"1,100점",20201119,1710
82,여행,프렌즈 제주,8927811720,9788927811725,14980,중앙books(중앙북스),허준성 지음,16800,15120,1680,10%,840점,20201109,1070
83,여행,2021 서울의 맛집,8993508569,9788993508567,4590,BR미디어,블루리본 서베이 지음,18000,16200,1800,10%,540점,20201026,1153
84,여행,엄마는 인도에서 아난다라고 불렸다,K542633811,9791190278423,3810,봄름,정인근.홍승희 지음,12800,11520,1280,10%,640점,20201102,434
85,여행,뚜벅뚜벅 이탈리아 공공의료,8985635999,9788985635998,3330,또하나의문화,문정주 지음,22000,19800,2200,10%,"1,100점",20201015,1000
86,여행,대한민국 자연휴양림 가이드,8927811569,9788927811565,14980,중앙books(중앙북스),이준휘 지음,19500,17550,1950,10%,970점,20201005,622
87,여행,나의 첫 차박캠핑 이야기,K112633495,9791197171802,3810,파르페북스,오영교 지음,14000,12600,1400,10%,700점,20201013,1421
88,여행,"지리산 둘레길 (2021~2022 개정판, 휴대용 대형 지도 수록)",K242632927,9791189469955,13980,꿈의지도,(사)숲길 지음,15000,13500,1500,10%,750점,20200921,676
89,여행,진짜 멋진 할머니가 되어버렸지 뭐야,K682632378,9791158161170,3810,달,김원희 지음,13500,12150,1350,10%,670점,20200813,6615
90,여행,"일상이 고고학, 나 혼자 백제 여행",K462631352,9791186274620,3810,책읽는고양이,황윤 지음,13900,12510,1390,10%,690점,20200815,1713
91,여행,진짜 캠핑 요리,K062631685,9791190938051,13590,상상출판,이미경 지음,15500,13950,1550,10%,770점,20200727,1375
92,여행,자동차 주말여행 코스북,K792631270,9791165212117,13980,길벗,유연태 외 지음,18500,16650,1850,10%,920점,20200717,1355
93,여행,한국 정원 기행,8959896578,9788959896578,3980,미래의창,김종길 지음,17000,15300,1700,10%,850점,20200601,1560
94,여행,지리 덕후가 떠먹여주는 풀코스 세계지리,8926898563,9788926898567,3980,이담북스,서지선 지음,15000,13500,1500,10%,750점,20200320,3415
95,여행,내 옆에 있는 사람,K782638303,9791158161071,3810,달,이병률 지음,15300,13770,1530,10%,760점,20200311,3127
96,여행,프렌즈 미국 동부,8927810651,9788927810650,14980,중앙books(중앙북스),이주은.한세라 지음,17000,15300,1700,10%,850점,20191115,1061
97,여행,도시여행자를 위한 파리x역사,K682636107,9791160803099,3920,휴머니스트,주경철 지음,19000,17100,1900,10%,950점,20191202,1923
98,여행,바르셀로나 Barcelona,K882635350,9791196205546,13980,오브바이포,최연정.최지민 지음,19000,17100,1900,10%,950점,20190823,2784
99,여행,당신의 계절을 걸어요,8925567237,9788925567235,3810,알에이치코리아(RHK),청춘유리 지음,15000,13500,1500,10%,750점,20190722,1574
100,여행,나 홀로 제주 (2019-2020 최신 개정판),K582635030,9791156161653,13980,리스컴,장은정 지음,15000,13500,1500,10%,750점,20190715,636
101,여행,역마,K212635525,9791189680060,3810,냉수,이묵돌 지음,13000,11700,1300,10%,650점,20190701,2274
102,여행,내 모든 습관은 여행에서 만들어졌다,K252635008,9791190065696,3320,위즈덤하우스,김민식 지음,15000,13500,1500,10%,750점,20190524,3495
103,여행,나중은 영영 안 올지 몰라서,K552534527,9791189217020,3810,저녁달고양이,범유진 지음,13800,12420,1380,10%,690점,20190120,329
104,여행,땅의 역사 2,K602534192,9791187795988,4910,상상출판,박종인 지음,16500,14850,1650,10%,820점,20181115,1421
105,여행,땅의 역사 1,K592534192,9791187795971,4910,상상출판,박종인 지음,16000,14400,1600,10%,800점,20181115,1553
106,여행,셜록을 찾아서,K462533239,9791196248727,3810,신사와전사,표창원 지음,18000,16200,1800,10%,900점,20180725,503
107,여행,시골의 발견,8958203714,9788958203711,3520,궁리,"오경아 글.그림, 임종기 사진",18000,16200,1800,10%,900점,20160408,1303
108,여행,지리쌤과 함께하는 우리나라 도시 여행,K992434717,9791195523559,3980,폭스코너,전국지리교사모임 지음,17500,15750,1750,10%,870점,20160120,1793
109,여행,2 + 딜리셔스 라이프,895975921X,9788959759217,13980,한즈미디어(한스미디어),오승해 글.사진,6000,5400,600,10%,300점,20151201,474
110,여행,체르노빌 다크 투어리즘 가이드,K422533459,9791186000106,3300,마티,"아즈마 히로키 외 지음, 양지연 옮김",20000,18000,2000,10%,"1,000점",20150311,615
111,여행,자전거여행 2,8954626211,9788954626217,4810,문학동네,"김훈 지음, 이강빈 사진",15000,13500,1500,10%,750점,20141022,5511
112,여행,바람이 분다 당신이 좋다,8993928487,9788993928488,3810,달,이병률 지음,13800,12420,1380,10%,690점,20120704,23284
113,여행,끌림,8993928185,9788993928181,3810,달,이병률 지음,13000,11700,1300,10%,650점,20100701,15604
114,여행,고조선의 강역과 요하문명,8985433245,9788985433242,13980,동아지도,우실하 지음,6000,5700,300,5%,180점,20070901,728
115,여행,한비야의 중국견문록,8971844779,9788971844779,3810,푸른숲,한비야 지음,12000,10800,1200,10%,600점,20010824,15794
116,여행,김석철의 세계건축기행,8936470337,9788936470333,3810,창비,김석철 지음,18000,17100,900,5%,900점,19970315,1519
117,여행,변방백리 - 자전거기행,K282739037,9791197381904,3980,동연재,김효준 지음,16000,14400,1600,10%,800점,20210222,180
118,여행,제주오름 200,K892738124,9791195455157,13980,수학여행,박윤정 지음,32000,28800,3200,10%,"1,600점",20210115,210
119,여행,세상에 이런 여행,8962918935,9788962918939,3980,푸른길,김부성 외 엮음,22000,19800,2200,10%,"1,100점",20210217,340
120,여행,방구석에서 먼저 떠나는 이집트 여행,K472738584,9791196621360,3980,피서산장,최돈근 지음,15000,13500,1500,10%,750점,20210127,785
121,여행,우리가 사랑한 고흐,8946421754,9788946421752,3600,샘터사,최상운 지음,18500,16650,1850,10%,920점,20210128,1170
122,여행,내 인생의 거품을 위하여,8993525943,9788993525946,,행복우물,이승예 지음,15300,13770,1530,10%,760점,20210125,515
123,여행,한계전·한필남 부부 중세 수도원 가다,K932737324,9791191255416,3980,새미,한계전.한필남 지음,18000,17100,900,5%,900점,20210114,590
124,여행,자전거로 떠나는 세계의 오지여행,K992737702,9791197276804,3980,송위당,송남 지음,18000,16200,1800,10%,900점,20201201,370
125,여행,다만 나로 살 뿐 2,K122736334,9791190382304,4810,수오서재,원제 지음,15000,13500,1500,10%,750점,20201215,2900
126,여행,여행책은 아닙니다만,K592736231,9791197193378,3810,도서출판 11,남기형 지음,14000,12600,1400,10%,700점,20201223,860
127,여행,시애틀은 우산을 쓰지 않는다,8955968876,9788955968873,3900,노란잠수함,김태엽 지음,17000,15300,1700,10%,850점,20201202,755
128,여행,"삶의 어느 순간, 걷기로 결심했다",8993690774,9788993690774,3810,이상북스,"황상호 엮음, 정 인걸 줄리엔.김희남 기획",17000,15300,1700,10%,850점,20201210,450
129,여행,"인문학을 걷다, 호주 울루루",8996724173,9788996724179,13800,북스페이스(유비미디어),김영순 지음,14800,13320,1480,10%,740점,20201125,205
130,여행,오름 오름,K292735319,9791187694182,13980,미니멈,박선정 지음,21000,18900,2100,10%,"1,050점",20201120,680
131,여행,도쿄의 시간 기록자들,8954445292,9788954445290,3810,꼼지락,정재혁 지음,14800,13320,1480,10%,740점,20201105,1487
132,여행,장에 가자,K172633918,9791191131024,3980,이숲,정영신 지음,18000,16200,1800,10%,900점,20201031,746
133,여행,유목의 전설,K332633817,9791197176104,3810,문전,이시백 지음,20000,18000,2000,10%,"1,000점",20200925,387
134,여행,빌 브라이슨 발칙한 영국산책 (리커버 에디션),8950987651,9788950987657,3840,21세기북스,"빌 브라이슨 지음, 김지현 옮김",18000,16200,1800,10%,900점,20201015,984
135,여행,어반 리브 No.6 : 타이베이,K822632495,9791189096168,,어반북스,어반리브 편집부 엮음,16000,14400,1600,10%,800점,20200812,612
136,여행,40일간의 남미 일주,8965749476,9788965749479,3810,해냄,최민석 지음,17000,15300,1700,10%,850점,20200820,2513
137,여행,우리 술 한주 기행,893647815X,9788936478155,3980,창비,백웅재 지음,17000,15300,1700,10%,850점,20200910,1012
138,여행,"기꺼이, 이방인",K862631595,9791197104602,3810,책밥상,천선영 지음,15800,14220,1580,10%,790점,20200725,416
139,여행,인천,K042631798,9791186440582,4980,도서출판 가지,정진오 지음,16000,14400,1600,10%,800점,20200722,386
140,여행,여행이거나 사랑이거나,K272631075,9791162143360,3800,부크럼,윤정은 지음,14000,12600,1400,10%,700점,20200713,491
141,여행,"지금, 행복하고 싶어",8927811321,9788927811329,13980,중앙books(중앙북스),이소연 지음,15000,13500,1500,10%,750점,20200710,3800
142,여행,반짝이는 일을 미루지 말아요,8925536773,9788925536774,3810,알에이치코리아(RHK),여행자MAY 지음,15000,13500,1500,10%,750점,20200610,1414
143,여행,Ver a Espa&#241;a 베르 아 에스파냐,K762639031,9791190003322,,인디펍,김호현.황슬기 지음,18000,16200,1800,10%,540점,20200515,1331
144,여행,전국의 맛집 2020,8993508550,9788993508550,4590,BR미디어,블루리본 서베이 지음,19000,17100,1900,10%,190점,20200515,911
145,여행,예술과 함께 유럽의 도시를 걷다,K082639286,9791190641036,3600,책밥,이석원 지음,15800,14220,1580,10%,790점,20200427,1492
146,여행,오름나그네 1~3 세트 - 전3권,K332639962,9791155100851,4980,다빈치,"김종철 지음, 고길홍 사진",77000,69300,7700,10%,"3,850점",20200415,513
147,여행,책과 여행으로 만난 일본 문화 이야기,K392639764,9791187316633,3810,세나북스,최수진 지음,12000,10800,1200,10%,600점,20200413,1065
