순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
1,초등학교참고서,신사고 쎈 초등 수학 6-1 (2021년용),8928329159,9788928329151,64410,좋은책신사고,홍범준.신사고수학콘텐츠연구회 지음,15000,13500,1500,10%,750점,20190906,83898
2,초등학교참고서,신사고 쎈 초등 수학 5-1 (2021년용),8928326605,9788928326600,64410,좋은책신사고,홍범준.신사고수학콘텐츠연구회 지음,15000,13500,1500,10%,750점,20181005,73793
3,초등학교참고서,해법 기초학력 진단평가 문제집 4학년 (8절) (2021년),K642738183,9791125959267,63370,천재교육,천재교육(참고서) 편집부 지음,14000,12600,1400,10%,700점,20210121,20785
4,초등학교참고서,해법 기초학력 진단평가 문제집 5학년 (8절) (2021년),K622738183,9791125959274,63370,천재교육,천재교육(참고서) 편집부 지음,14000,12600,1400,10%,700점,20210121,20725
5,초등학교참고서,최상위 초등 수학 6-1 (2021년),8926159248,9788926159248,,디딤돌,디딤돌 편집부 지음,15000,13500,1500,10%,750점,20201007,31805
6,초등학교참고서,신사고 쎈 초등 수학 4-1 (2021년용),8928326591,9788928326594,64410,좋은책신사고,홍범준.신사고수학콘텐츠연구회 지음,14500,13050,1450,10%,720점,20181004,54636
7,초등학교참고서,초등 독서평설 2021.3,K462738734,9771739832002,,지학사(잡지),지학사 편집부 지음,12000,10800,1200,10%,540점,20210223,14170
8,초등학교참고서,EBS 초등 기본서 만점왕 2-1 세트 - 전3권 (2021년),8954756174,9788954756174,64370,한국교육방송공사(초등),EBS(한국교육방송공사) 편집부 지음,23000,20700,2300,10%,"1,150점",20201222,28940
9,초등학교참고서,오투 초등 과학 6-1 (2021년용),K812636919,9791164743254,63400,비상교육,구혜린.이슬.박혜정 지음,14000,12600,1400,10%,700점,20191201,32610
10,초등학교참고서,뿌리깊은 초등국어 독해력 3단계,K342532416,9791162720400,63710,마더텅,마더텅 편집부 엮음,9900,8910,990,10%,490점,20180305,55891
11,초등학교참고서,해법 기초학력 진단평가 문제집 6학년 (8절) (2021년),K692738183,9791125959281,,천재교육,천재교육(참고서) 편집부 지음,14000,12600,1400,10%,700점,20210121,21360
12,초등학교참고서,최상위 초등 수학 5-1 (2021년),892615923X,9788926159231,,디딤돌,디딤돌 편집부 지음,15000,13500,1500,10%,750점,20201007,28530
13,초등학교참고서,EBS 초등 기본서 만점왕 4-1 세트 - 전6권 (2021년),8954756190,9788954756198,,한국교육방송공사(초등),EBS(한국교육방송공사) 편집부 지음,48000,43200,4800,10%,"2,400점",20201222,24480
14,초등학교참고서,오투 초등 과학 5-1 (2021년용),K832636919,9791164743247,63400,비상교육,김민영.박혜정 지음,14000,12600,1400,10%,700점,20191201,27205
15,초등학교참고서,EBS 초등 기본서 만점왕 6-1 세트 - 전6권 (2021년),8954756212,9788954756211,,한국교육방송공사(초등),EBS(한국교육방송공사) 편집부 지음,46000,41400,4600,10%,"2,300점",20201222,19900
16,초등학교참고서,최상위 초등 수학 4-1 (2021년),8926159221,9788926159224,64410,디딤돌,디딤돌 편집부 지음,15000,13500,1500,10%,750점,20201007,24680
17,초등학교참고서,EBS 초등 기본서 만점왕 사회 6-1 (2021년),8954755313,9788954755313,63330,한국교육방송공사(초등),EBS(한국교육방송공사) 편집부 지음,10000,9000,1000,10%,500점,20201207,19960
18,초등학교참고서,디딤돌 초등 수학 기본 + 응용 6-1 (2021년),8926158985,9788926158982,,디딤돌,디딤돌 초등 편집부 지음,16000,14400,1600,10%,800점,20200915,25880
19,초등학교참고서,한끝 초등 사회 6-1 (2021년),K902736561,9791166091834,63300,비상교육,비상교육 편집부 지음,13000,11700,1300,10%,650점,20201201,19235
20,초등학교참고서,디딤돌 초등 수학 기본 + 응용 3-1 (2021년),8926158950,9788926158951,63410,디딤돌,디딤돌 초등 편집부 엮음,16000,14400,1600,10%,800점,20200915,28221
21,초등학교참고서,오투 초등 과학 4-1 (2021년용),K012534698,9791162275993,63400,비상교육,비상교육 편집부 엮음,14000,12600,1400,10%,700점,20191201,24597
22,초등학교참고서,신사고 쎈 초등 수학 3-1 (2021년용),8928326583,9788928326587,64410,좋은책신사고,홍범준.신사고수학콘텐츠연구회 지음,14500,13050,1450,10%,720점,20181005,38760
23,초등학교참고서,뿌리깊은 초등국어 독해력 5단계,K072532332,9791162720431,63710,마더텅,마더텅 편집부 지음,9900,8910,990,10%,490점,20180409,50632
24,초등학교참고서,디딤돌 초등 수학 기본 + 응용 4-1 (2021년),8926158969,9788926158968,63410,디딤돌,디딤돌 초등 편집부 엮음,16000,14400,1600,10%,800점,20200917,30051
25,초등학교참고서,EBS 초등 기본서 만점왕 국어 4-1 (2021년),8954755259,9788954755252,63710,한국교육방송공사(초등),EBS(한국교육방송공사) 편집부 엮음,12500,11250,1250,10%,620점,20201203,21115
26,초등학교참고서,뿌리깊은 초등국어 독해력 1단계,K332532416,9791162720387,63710,마더텅,마더텅 편집부 지음,9900,8910,990,10%,490점,20180305,44213
27,초등학교참고서,해법 기초학력 진단평가 문제집 3학년 (8절) (2021년),K792738183,9791125959250,63370,천재교육,천재교육(참고서) 편집부 지음,10000,9000,1000,10%,500점,20210121,15380
28,초등학교참고서,EBS 초등 기본서 만점왕 수학 4-1 (2021년),8954754244,9788954754248,,한국교육방송공사(초등),EBS(한국교육방송공사) 편집부 엮음,12000,10800,1200,10%,600점,20201102,32141
29,초등학교참고서,EBS 초등 기본서 만점왕 사회 5-1 (2021년),8954755305,9788954755306,63330,한국교육방송공사(초등),EBS(한국교육방송공사) 편집부 지음,10000,9000,1000,10%,500점,20201207,19410
30,초등학교참고서,디딤돌 초등 국어.사회.과학 통합본 5-1 (2021년),8926159701,9788926159705,,디딤돌,디딤돌 초등전과목 편집부 엮음,28000,25200,2800,10%,"1,400점",20201214,14800
31,초등학교참고서,EBS 초등 기본서 만점왕 3-1 세트 - 전6권 (2021년),8954756182,9788954756181,,한국교육방송공사(초등),EBS(한국교육방송공사) 편집부 지음,47000,42300,4700,10%,"2,350점",20201222,26750
32,초등학교참고서,EBS 초등 기본서 만점왕 국어 6-1 (2021년),8954755275,9788954755276,63710,한국교육방송공사(초등),EBS(한국교육방송공사) 편집부 지음,11000,9900,1100,10%,550점,20201203,19995
33,초등학교참고서,한끝 초등 사회 5-1 (2021년용),K312636739,9791164743209,63300,비상교육,비상교육 편집부 지음,13000,11700,1300,10%,650점,20200102,19433
34,초등학교참고서,EBS 어휘가 독해다! 초등 국어 어휘 기본 (2021년),8954755844,9788954755849,63710,한국교육방송공사(초등),EBS(한국교육방송공사) 편집부 지음,12000,10800,1200,10%,600점,20201211,25515
35,초등학교참고서,EBS 초등 기본서 만점왕 국어 5-1 (2021년),8954755267,9788954755269,63710,한국교육방송공사(초등),EBS(한국교육방송공사) 편집부 지음,13000,11700,1300,10%,650점,20201203,21455
36,초등학교참고서,디딤돌 초등 수학 기본 + 응용 2-1 (2021년),8926158942,9788926158944,63410,디딤돌,디딤돌 초등 편집부 엮음,16000,14400,1600,10%,800점,20200916,21498
37,초등학교참고서,EBS 어휘가 독해다! 초등 국어 어휘 실력 (2021년),8954755852,9788954755856,63710,한국교육방송공사(초등),EBS(한국교육방송공사) 편집부 엮음,13000,11700,1300,10%,650점,20201211,22775
38,초등학교참고서,EBS 초등 기본서 만점왕 수학 3-1 (2021년),8954754236,9788954754231,63410,한국교육방송공사(초등),EBS(한국교육방송공사) 편집부 엮음,12000,10800,1200,10%,600점,20201102,34557
39,초등학교참고서,EBS 초등 기본서 만점왕 국어 3-1 (2021년),8954755240,9788954755245,63710,한국교육방송공사(초등),EBS(한국교육방송공사) 편집부 지음,12500,11250,1250,10%,620점,20201202,24445
40,초등학교참고서,EBS 초등 기본서 만점왕 과학 6-1 (2021년),8954755356,9788954755351,63400,한국교육방송공사(초등),EBS(한국교육방송공사) 편집부 지음,12500,11250,1250,10%,620점,20201201,18110
41,초등학교참고서,EBS 초등 기본서 만점왕 수학 5-1 (2021년),8954754252,9788954754255,,한국교육방송공사(초등),EBS(한국교육방송공사) 편집부 지음,12500,11250,1250,10%,620점,20201102,31201
42,초등학교참고서,최상위 초등 수학S 4-1 (2021년),8926159167,9788926159163,63410,디딤돌,디딤돌 편집부 지음,15000,13500,1500,10%,750점,20201007,17722
43,초등학교참고서,EBS 초등 기본서 만점왕 과학 5-1 (2021년),8954755348,9788954755344,63400,한국교육방송공사(초등),EBS(한국교육방송공사) 편집부 지음,12500,11250,1250,10%,620점,20201201,18450
44,초등학교참고서,뿌리깊은 초등국어 독해력 4단계,K062532332,9791162720424,63710,마더텅,마더텅 편집부 지음,9900,8910,990,10%,490점,20180409,43673
45,초등학교참고서,디딤돌 초등 수학 기본 + 응용 5-1 (2021년),8926158977,9788926158975,,디딤돌,디딤돌 초등 편집부 지음,16000,14400,1600,10%,800점,20200915,28638
46,초등학교참고서,뿌리깊은 초등국어 독해력 어휘편 3단계,K682636718,9791162725160,63710,마더텅,마더텅 편집부 지음,9900,8910,990,10%,490점,20191202,41348
47,초등학교참고서,EBS 초등 기본서 만점왕 5-1 세트 - 전6권 (2021년),8954756204,9788954756204,,한국교육방송공사(초등),EBS(한국교육방송공사) 편집부 지음,48000,43200,4800,10%,"2,400점",20201222,18580
48,초등학교참고서,최상위 초등 수학 3-1 (2021년),8926159213,9788926159217,64410,디딤돌,디딤돌 편집부 지음,15000,13500,1500,10%,750점,20201006,18403
49,초등학교참고서,EBS 초등 기본서 만점왕 사회 4-1 (2021년),8954755291,9788954755290,63330,한국교육방송공사(초등),EBS(한국교육방송공사) 편집부 지음,11000,9900,1100,10%,550점,20201207,16870
50,초등학교참고서,뿌리깊은 초등국어 독해력 어휘편 1단계,K322636718,9791162725146,63710,마더텅,마더텅 편집부 지음,9900,8910,990,10%,490점,20191202,41071
51,초등학교참고서,EBS 초등 기본서 만점왕 수학 6-1 (2021년),8954754260,9788954754262,63410,한국교육방송공사(초등),EBS(한국교육방송공사) 편집부 지음,12500,11250,1250,10%,620점,20201102,25241
52,초등학교참고서,최상위 초등 수학S 5-1 (2021년),8926159175,9788926159170,63410,디딤돌,디딤돌 편집부 지음,15000,13500,1500,10%,750점,20200731,18707
53,초등학교참고서,한끝 초등 사회 4-1 (2021년용),K662534597,9791162275856,63300,비상교육,비상교육 편집부 지음,13000,11700,1300,10%,650점,20181201,16372
54,초등학교참고서,EBS 초등 기본서 만점왕 수학 2-1 (2021년),8954754228,9788954754224,63410,한국교육방송공사(초등),EBS(한국교육방송공사) 편집부 지음,11000,9900,1100,10%,550점,20201102,25299
55,초등학교참고서,EBS 초등 기본서 만점왕 1-1 세트 - 전3권 (2021년),8954756476,9788954756471,64370,한국교육방송공사(초등),EBS(한국교육방송공사) 편집부 지음,22000,19800,2200,10%,"1,100점",20201222,14655
56,초등학교참고서,EBS 초등 기본서 만점왕 국어 2-1 (2021년),8954755232,9788954755238,63710,한국교육방송공사(초등),EBS(한국교육방송공사) 편집부 지음,12000,10800,1200,10%,600점,20201202,19665
57,초등학교참고서,큰별쌤 최태성의 하루 한장 한국사 1,K122736106,9791164136834,63910,미래엔,최태성 지음,14000,12600,1400,10%,700점,20201207,14115
58,초등학교참고서,초등영문법 문법이 쓰기다 기본 1,8974577577,9788974577575,63740,키출판사,키 영어학습방법연구소,12000,10800,1200,10%,600점,20151111,43220
59,초등학교참고서,뿌리깊은 초등국어 독해력 2단계,K432532416,9791162720394,63710,마더텅,마더텅 편집부 지음,9900,8910,990,10%,490점,20180305,35198
60,초등학교참고서,우공비 일일한자 1단계 8급,892833067X,9788928330676,64700,좋은책신사고,신사고초등콘텐츠연구회 지음,10000,9000,1000,10%,500점,20210101,18160
61,초등학교참고서,EBS 어휘가 독해다! 초등 국어 어휘 입문 (2021년),8954755836,9788954755832,63710,한국교육방송공사(초등),EBS(한국교육방송공사) 편집부 지음,8500,7650,850,10%,420점,20201211,17465
62,초등학교참고서,EBS랑 홈스쿨 초등 영문법 1,8954755895,9788954755894,63740,한국교육방송공사(초등),EBS(한국교육방송공사) 편집부 엮음,7200,6480,720,10%,360점,20201204,19285
63,초등학교참고서,최상위 초등 수학S 6-1 (2021년),8926159183,9788926159187,,디딤돌,디딤돌 편집부 지음,15000,13500,1500,10%,750점,20201006,16934
64,초등학교참고서,뿌리깊은 초등국어 독해력 어휘편 5단계,K422636718,9791162725184,63710,마더텅,마더텅 편집부 지음,9900,8910,990,10%,490점,20191202,33725
65,초등학교참고서,오투 초등 과학 3-1 (2021년용),K092534698,9791162275979,63400,비상교육,비상교육 편집부 엮음,14000,12600,1400,10%,700점,20191201,20496
66,초등학교참고서,EBS 초등 기본서 만점왕 과학 4-1 (2021년),895475533X,9788954755337,63400,한국교육방송공사(초등),EBS(한국교육방송공사) 편집부 지음,12500,11250,1250,10%,620점,20201201,16350
67,초등학교참고서,EBS 어휘가 독해다! : 중학 국어 어휘 (2021년용),8954750877,9788954750875,53710,한국교육방송공사(중고등),EBS(한국교육방송공사) 편집부 지음,12000,10800,1200,10%,600점,20191110,49434
68,초등학교참고서,디딤돌 초등 국어.사회.과학 통합본 6-1 (2021년),892615971X,9788926159712,,디딤돌,디딤돌 초등전과목 편집부 지음,28000,25200,2800,10%,"1,400점",20201214,11095
69,초등학교참고서,디딤돌 초등 국어.사회.과학 통합본 4-1 (2021년),8926159698,9788926159699,,디딤돌,디딤돌 초등전과목 편집부 지음,28000,25200,2800,10%,"1,400점",20201214,10580
70,초등학교참고서,EBS 매일 쉬운 스토리 한국사 1,895475581X,9788954755818,63910,한국교육방송공사(초등),EBS(한국교육방송공사) 편집부 지음,9000,8100,900,10%,450점,20201209,15360
71,초등학교참고서,동아 전과 5-1 - 전10권 (2021년),890046132X,9788900461329,64370,동아출판,동아출판(참고서) 편집부 지음,48000,43200,4800,10%,"2,400점",20201130,10140
72,초등학교참고서,쎈연산 09권 초등 5-1,8928326710,9788928326716,64410,좋은책신사고,홍범준.신사고초등콘텐츠연구회 지음,8000,7200,800,10%,400점,20181011,34696
73,초등학교참고서,해법 기초학력 진단평가 문제집 중1 신입생 (8절) (2021년),K662738183,9791125959298,53370,천재교육,천재교육(참고서) 편집부 지음,14000,12600,1400,10%,700점,20210121,9475
74,초등학교참고서,신사고 쎈 초등 수학 6-2 (2021년용),8928327571,9788928327577,64410,좋은책신사고,홍범준.신사고수학콘텐츠연구회 지음,15000,13500,1500,10%,750점,20190404,49368
75,초등학교참고서,쎈연산 07권 초등 4-1,8928323363,9788928323364,64410,좋은책신사고,홍범준.신사고초등콘텐츠연구회 지음,8000,7200,800,10%,400점,20171124,31610
76,초등학교참고서,EBS 초등 만점왕 단원평가 전과목 5-1 (2021년),8954756026,9788954756020,63370,한국교육방송공사(초등),EBS(한국교육방송공사) 편집부 엮음,11500,10350,1150,10%,570점,20210111,8145
77,초등학교참고서,뿌리깊은 초등국어 독해력 어휘편 4단계,K502636718,9791162725177,63710,마더텅,마더텅 편집부 지음,9900,8910,990,10%,490점,20191202,30358
78,초등학교참고서,기적의 계산법 3학년 세트 - 전2권,896222688X,9788962226881,64410,길벗스쿨,기적의 계산법 연구회 지음,14000,12600,1400,10%,700점,20170701,38649
79,초등학교참고서,메가스터디 초등 독해 1일 1독해 한국사 1권,K842635328,9791129703996,64910,메가스터디북스(참고서),큰곰자리 지음,7900,7110,790,10%,390점,20190628,46830
80,초등학교참고서,뿌리깊은 초등국어 독해력 6단계,K952532332,9791162720448,63710,마더텅,마더텅 편집부 지음,9900,8910,990,10%,490점,20180409,31839
81,초등학교참고서,EBS 초등 만점왕 단원평가 전과목 4-1 (2021년),8954756018,9788954756013,63370,한국교육방송공사(초등),EBS(한국교육방송공사) 편집부 엮음,11000,9900,1100,10%,550점,20210111,7945
82,초등학교참고서,해법 기초학력 진단평가 문제집 2학년 (8절) (2021년),K672738183,9791125959243,63370,천재교육,천재교육(참고서) 편집부 지음,10000,9000,1000,10%,500점,20210121,7420
83,초등학교참고서,어린이 훈민정음 3-1,8960660825,9788960660823,64710,시서례,성정일 지음,8000,7200,800,10%,400점,20180302,25513
84,초등학교참고서,어린이 훈민정음 2-1,8960660795,9788960660793,64710,시서례,성정일 지음,8000,7200,800,10%,400점,20170301,22546
85,초등학교참고서,EBS 초등 만점왕 단원평가 전과목 6-1 (2021년),8954756034,9788954756037,63370,한국교육방송공사(초등),이유진 지음,12000,10800,1200,10%,600점,20210111,7385
86,초등학교참고서,최상위 초등 수학S 3-1 (2021년),8926159159,9788926159156,63410,디딤돌,디딤돌 편집부 지음,15000,13500,1500,10%,750점,20201006,12227
87,초등학교참고서,동아 전과 6-1 - 전10권 (2021년),8900461338,9788900461336,64370,동아출판,동아출판(참고서) 편집부 엮음,48000,43200,4800,10%,"2,400점",20201130,10030
88,초등학교참고서,디딤돌 초등 국어.사회.과학 통합본 3-1 (2021년),892615968X,9788926159682,,디딤돌,디딤돌 초등전과목 편집부 지음,28000,25200,2800,10%,"1,400점",20201214,9060
89,초등학교참고서,하루 한장 한자 1권 초등 1-1 (2021년용),K452534500,9791162339206,63720,미래엔,미래엔 교육콘텐츠연구회 지음,12000,10800,1200,10%,600점,20181201,44763
90,초등학교참고서,우공비 일일영단어 A단계,8928330890,9788928330898,64740,좋은책신사고,신사고 영어 콘텐츠 연구회 지음,10000,9000,1000,10%,500점,20201231,9910
91,초등학교참고서,디딤돌 초등 수학 기본 + 응용 4-2 (2021년),8926159477,9788926159477,,디딤돌,디딤돌 초등 편집부 엮음,16000,14400,1600,10%,800점,20201110,12500
92,초등학교참고서,쎈연산 05권 초등 3-1,8928323355,9788928323357,64410,좋은책신사고,홍범준.신사고초등콘텐츠연구회 지음,8000,7200,800,10%,400점,20171124,24623
93,초등학교참고서,기적의 계산법 2학년 세트 - 전2권,8962226871,9788962226874,64410,길벗스쿨,기적의 계산법 연구회 지음,14000,12600,1400,10%,700점,20170701,37640
94,초등학교참고서,EBS 초등 기본서 만점왕 사회 3-1 (2021년),8954755283,9788954755283,63330,한국교육방송공사(초등),EBS(한국교육방송공사) 편집부 지음,10500,9450,1050,10%,520점,20201207,16735
95,초등학교참고서,초등 분수 개념이 먼저다 1,K412635242,9791189719579,64410,키출판사,키 수학학습방법연구소 지음,11000,9900,1100,10%,550점,20190730,21853
96,초등학교참고서,한끝 초등 사회 3-1 (2021년용),K512534597,9791162275849,63710,비상교육,비상교육 편집부 지음,13000,11700,1300,10%,650점,20181201,14304
97,초등학교참고서,최상위 초등 수학 6-2 (2020년),8926158373,9788926158371,63410,디딤돌,디딤돌 편집부 지음,15000,13500,1500,10%,750점,20191216,28324
98,초등학교참고서,뿌리깊은 초등국어 독해력 어휘편 2단계,K202636718,9791162725153,63710,마더텅,마더텅 편집부 지음,9900,8910,990,10%,490점,20191202,28114
99,초등학교참고서,EBS 마이 그래머 코치 My Grammar Coach 기초편,8954746276,9788954746274,53740,한국교육방송공사(중고등),이상엽.서우식 지음,8500,7650,850,10%,420점,20180626,39100
100,초등학교참고서,EBS 초등 기본서 만점왕 과학 3-1 (2021년),8954755321,9788954755320,63400,한국교육방송공사(초등),EBS(한국교육방송공사) 편집부 엮음,12000,10800,1200,10%,600점,20201201,16480
101,초등학교참고서,하루 한장 독해 초등 국어 2-1 (2021년용),K632532988,9791162332269,63710,미래엔,미래엔 초등 국어 연구회 지음,11000,9900,1100,10%,550점,20180102,25466
102,초등학교참고서,기적의 계산법 4학년 세트 - 전2권,8962226898,9788962226898,64410,길벗스쿨,기적의 계산법 연구회 지음,14000,12600,1400,10%,700점,20170701,33925
103,초등학교참고서,디딤돌 초등 수학 응용 5-1 (2021년),8926158918,9788926158913,63410,디딤돌,디딤돌 초등 편집부 지음,15000,13500,1500,10%,750점,20200928,12481
104,초등학교참고서,EBS 만점왕 수학 플러스 4-1 (2021년용),8954751652,9788954751650,63410,한국교육방송공사(초등),EBS(한국교육방송공사) 편집부 지음,13500,12150,1350,10%,670점,20191220,12327
105,초등학교참고서,신사고 쎈 초등 수학 5-2 (2021년용),8928327563,9788928327560,64410,좋은책신사고,홍범준.신사고초등콘텐츠연구회 지음,15000,13500,1500,10%,750점,20190404,40297
106,초등학교참고서,기탄 수학 G단계 3집,8926015629,9788926015629,74410,기탄교육,기탄교육연구소 엮음,5000,4500,500,10%,250점,20190330,26278
107,초등학교참고서,신사고 우공비 초등 국어 4-1 (2021년),8928330092,9788928330096,64710,좋은책신사고,신사고초등콘텐츠연구회 지음,15000,13500,1500,10%,750점,20201218,8015
108,초등학교참고서,EBS 스토리 한국사 1 : 고대 ~ 조선 전기,8954747140,9788954747141,53910,한국교육방송공사(초등),EBS(한국교육방송공사) 편집부 지음,11000,9900,1100,10%,550점,20181214,48835
109,초등학교참고서,디딤돌 초등 수학 응용 4-1 (2021년),892615890X,9788926158906,,디딤돌,디딤돌 초등 편집부 지음,15000,13500,1500,10%,750점,20200929,10172
110,초등학교참고서,신사고 우공비 초등 수학 4-1 (2021년),8928330157,9788928330157,64410,좋은책신사고,홍범준.신사고수학콘텐츠연구회 지음,15000,13500,1500,10%,750점,20200910,10303
111,초등학교참고서,신사고 쎈 초등 수학 2-1 (2021년),8928329922,9788928329922,64410,좋은책신사고,홍범준.신사고초등콘텐츠연구회 지음,15000,13500,1500,10%,750점,20200710,11780
112,초등학교참고서,EBS 만점왕 수학 플러스 6-1 (2021년용),8954751679,9788954751674,63410,한국교육방송공사(초등),EBS(한국교육방송공사) 편집부 지음,13500,12150,1350,10%,670점,20191220,12330
113,초등학교참고서,EBS 만점왕 수학 플러스 2-1 (2021년용),8954751636,9788954751636,63410,한국교육방송공사(초등),EBS(한국교육방송공사) 편집부 지음,13000,11700,1300,10%,650점,20191220,13505
114,초등학교참고서,쎈연산 11권 초등 6-1,8928326729,9788928326723,63410,좋은책신사고,홍범준.신사고수학콘텐츠연구회 지음,8000,7200,800,10%,400점,20181011,24497
115,초등학교참고서,동아 전과 4-1 - 전10권 (2021년),8900461311,9788900461312,64370,동아출판,동아출판(참고서) 편집부 엮음,48000,43200,4800,10%,"2,400점",20201130,7930
116,초등학교참고서,최상위 초등 수학 2-1 (2021년),8926159205,9788926159200,,디딤돌,이은희 지음,15000,13500,1500,10%,750점,20201006,10839
117,초등학교참고서,디딤돌 초등 수학 응용 6-1 (2021년),8926158926,9788926158920,63410,디딤돌,디딤돌 초등 편집부 지음,15000,13500,1500,10%,750점,20200928,12919
118,초등학교참고서,한끝 초등 국어 6-1 (2021년용),K452636725,9791164742325,,비상교육,황혜정.진경아 지음,15000,13500,1500,10%,750점,20191201,10531
119,초등학교참고서,기적의 계산법 1학년 세트 - 전2권,8962226863,9788962226867,64410,길벗스쿨,기적의 계산법 연구회 지음,14000,12600,1400,10%,700점,20170701,32142
120,초등학교참고서,어린이 훈민정음 1-1,8960660787,9788960660786,64710,시서례,성정일 지음,8000,7200,800,10%,400점,20170301,17613
121,초등학교참고서,신사고 우공비 초등 국사과 세트 6-1 - 전3권 (2021년),8928330327,9788928330324,,좋은책신사고,신사고초등콘텐츠연구회 엮음,43000,38700,4300,10%,"2,150점",20201222,7965
122,초등학교참고서,동아 전과 3-1 - 전10권 (2021년),8900461303,9788900461305,,동아출판,동아출판(참고서) 편집부 지음,48000,43200,4800,10%,"2,400점",20201215,7005
123,초등학교참고서,하루 한장 독해 초등 국어 1-1 (2021년용),K532532988,9791162332245,63710,미래엔,미래엔 초등 국어 연구회 지음,11000,9900,1100,10%,550점,20180102,23134
124,초등학교참고서,초등 첫 영문법 문법이 쓰기다 Starter 1,8974577070,9788974577070,63740,키출판사,키 영어학습방법연구소 지음,14000,12600,1400,10%,700점,20170713,20474
125,초등학교참고서,하루 한장 쏙셈 초등 2-1 (2021년용),8937840553,9788937840555,63,미래엔,미래엔 교육콘텐츠연구회 엮음,9900,8910,990,10%,490점,20160919,17822
126,초등학교참고서,신사고 우공비 초등 국어 6-1 (2021년),8928330114,9788928330119,64710,좋은책신사고,신사고초등콘텐츠연구회 지음,15000,13500,1500,10%,750점,20201218,7870
127,초등학교참고서,신사고 우공비 초등 국어 5-1 (2021년),8928330106,9788928330102,64710,좋은책신사고,신사고초등콘텐츠연구회 지음,15000,13500,1500,10%,750점,20201218,8895
128,초등학교참고서,개념 + 유형 라이트 초등 수학 6-1 (2021년),K232633271,9791166090080,63410,비상교육,비상교육 편집부 지음,16000,14400,1600,10%,800점,20200901,17851
129,초등학교참고서,신사고 우공비 초등 수학 6-1 (2021년),8928330173,9788928330171,64410,좋은책신사고,홍범준.신사고수학콘텐츠연구회 지음,15000,13500,1500,10%,750점,20200910,11328
130,초등학교참고서,최상위 초등 수학 5-2 (2020년),8926158365,9788926158364,63410,디딤돌,디딤돌 편집부 엮음,15000,13500,1500,10%,750점,20191224,26354
131,초등학교참고서,신사고 우공비 초등 국사과 세트 4-1 - 전3권 (2021년),8928330289,9788928330287,64370,좋은책신사고,신사고초등콘텐츠연구회 엮음,43000,38700,4300,10%,"2,150점",20201222,5430
132,초등학교참고서,EBS 매일 쉬운 스토리 한국사 2 (2021년),8954755828,9788954755825,63910,한국교육방송공사(초등),EBS(한국교육방송공사) 편집부 지음,9000,8100,900,10%,450점,20201209,8420
133,초등학교참고서,디딤돌 초등 수학 기본 + 응용 6-2 (2021년),8926159493,9788926159491,,디딤돌,디딤돌 초등 편집부 지음,16000,14400,1600,10%,800점,20201110,13305
134,초등학교참고서,초등국어 독해력 비타민 5단계,8960660957,9788960660953,64710,시서례,성정일 지음,10000,9000,1000,10%,500점,20201015,13628
135,초등학교참고서,초등국어 독해력 비타민 3단계,8960660930,9788960660939,64710,시서례,성정일 지음,10000,9000,1000,10%,500점,20201015,14889
136,초등학교참고서,주니어 리딩튜터 스타터 1,K662636863,9791125329138,58740,NE능률(참고서),NE능률 영어교육연구소 지음,11000,9900,1100,10%,110점,20200105,26408
137,초등학교참고서,초등영문법 3800제 1,K262635489,9791162723210,63740,마더텅,마더텅 편집부 지음,9900,8910,990,10%,490점,20190417,24051
138,초등학교참고서,초등영문법 문법이 쓰기다 기본 2,8974577585,9788974577582,63740,키출판사,키 영어학습방법연구소,12000,10800,1200,10%,600점,20151111,25864
139,초등학교참고서,디딤돌 초등 수학 기본 + 응용 5-2 (2021년),8926159485,9788926159484,53,디딤돌,디딤돌 초등 편집부 지음,16000,14400,1600,10%,800점,20201110,13150
140,초등학교참고서,최상위 초등 수학 4-2 (2020년),8926158357,9788926158357,,디딤돌,디딤돌 편집부 엮음,15000,13500,1500,10%,750점,20191218,21123
141,초등학교참고서,우공비 일일사회 4-1,8928328950,9788928328956,64300,좋은책신사고,신사고초등콘텐츠연구회 지음,11000,9900,1100,10%,550점,20191217,9859
142,초등학교참고서,우공비 일일과학 4-1,8928328993,9788928328994,64400,좋은책신사고,신사고초등콘텐츠연구회 지음,11000,9900,1100,10%,550점,20191218,9695
143,초등학교참고서,우공비 일일독해 3A단계 (초등 3학년),892832677X,9788928326778,64710,좋은책신사고,신사고초등콘텐츠연구회 지음,10000,9000,1000,10%,500점,20181113,23247
144,초등학교참고서,대교 초등 영어 교과서 자습서 & 평가문제집 3-1 (2021년용),8954071767,9788954071765,63370,대교(학습지),이재근 외 지음,15000,13500,1500,10%,750점,20180208,6400
145,초등학교참고서,기탄 수학 H단계 1집,8926015653,9788926015650,74410,기탄교육,기탄교육연구소 지음,5000,4500,500,10%,250점,20190228,27828
146,초등학교참고서,디딤돌 초등 수학 기본 + 응용 3-2 (2021년),8926159469,9788926159460,,디딤돌,디딤돌 초등 편집부 엮음,16000,14400,1600,10%,800점,20201110,10820
147,초등학교참고서,개념 + 유형 파워 초등 수학 6-1 (2021년),K252633271,9791166090127,,비상교육,비상교육 편집부 지음,16000,14400,1600,10%,800점,20200901,10065
